repo_name	repo_url	source	cloned_at
nf-core_rnaseq	https://github.com/nf-core/rnaseq	nf-core	2026-03-26T19:10:44-05:00
nf-core_sarek	https://github.com/nf-core/sarek	nf-core	2026-03-26T19:10:52-05:00
nf-core_eager	https://github.com/nf-core/eager	nf-core	2026-03-26T19:10:57-05:00
nf-core_viralrecon	https://github.com/nf-core/viralrecon	nf-core	2026-03-26T19:10:58-05:00
nf-core_chipseq	https://github.com/nf-core/chipseq	nf-core	2026-03-26T19:11:00-05:00
nf-core_atacseq	https://github.com/nf-core/atacseq	nf-core	2026-03-26T19:11:09-05:00
nf-core_mag	https://github.com/nf-core/mag	nf-core	2026-03-26T19:11:39-05:00
nf-core_ampliseq	https://github.com/nf-core/ampliseq	nf-core	2026-03-26T19:11:48-05:00
rna-seq-star-deseq2	https://github.com/snakemake-workflows/rna-seq-star-deseq2	snakemake-catalog	2026-03-26T19:11:59-05:00
dna-seq-gatk-variant-calling	https://github.com/snakemake-workflows/dna-seq-gatk-variant-calling	snakemake-catalog	2026-03-26T19:12:05-05:00
dna-seq-varlociraptor	https://github.com/snakemake-workflows/dna-seq-varlociraptor	snakemake-catalog	2026-03-26T19:12:12-05:00
chipseq	https://github.com/snakemake-workflows/chipseq	snakemake-catalog	2026-03-26T19:12:23-05:00
metaGEM	https://github.com/franciscozorrilla/metaGEM	snakemake-catalog	2026-03-26T19:12:33-05:00
V-pipe	https://github.com/cbg-ethz/V-pipe	snakemake-catalog	2026-03-26T19:12:45-05:00
iwc	https://github.com/galaxyproject/iwc	github-topics	2026-03-26T19:13:15-05:00
pegasus	https://github.com/pegasus-isi/pegasus	github-topics	2026-03-26T19:14:01-05:00
parsl	https://github.com/Parsl/parsl	github-topics	2026-03-26T19:14:17-05:00
radical.pilot	https://github.com/radical-cybertools/radical.pilot	github-topics	2026-03-26T19:14:31-05:00
1000genome-workflow	https://github.com/pegasus-isi/1000genome-workflow	known-workflow	2026-03-26T19:14:44-05:00
PyFLEXTRKR	https://github.com/FlexTRKR/PyFLEXTRKR	known-workflow	2026-03-26T19:14:44-05:00
DeepDriveMD-pipeline	https://github.com/DeepDriveMD/DeepDriveMD-pipeline	known-workflow	2026-03-26T19:14:44-05:00
PtychoNN	https://github.com/mcherukara/PtychoNN	known-workflow	2026-03-26T19:14:44-05:00
Montage	https://github.com/Caltech-IPAC/Montage	known-workflow	2026-03-26T19:14:44-05:00
biobb_wf_md_setup	https://github.com/bioexcel/biobb_wf_md_setup	known-workflow	2026-03-26T19:14:44-05:00
lammps	https://github.com/lammps/lammps	known-workflow	2026-03-26T19:14:44-05:00
nwchem	https://github.com/nwchemgit/nwchem	known-workflow	2026-03-26T19:14:44-05:00
