repo_name	wms	small_status	small_elapsed_s	small_output_size	medium_status	medium_elapsed_s	medium_output_size	repair_attempts_total	overall_status	darshan_small_n	darshan_medium_n
DeepDriveMD-pipeline	RADICAL-EnTK	SUCCESS	37	24K	SUCCESS	37	64K	2	BOTH_SUCCESS	8	8
PyFLEXTRKR	python	SUCCESS	271	300M	SUCCESS	465	128M	1	BOTH_SUCCESS	39	7
Montage	shell	SUCCESS	174	9.5M	SUCCESS	182	203M	0	BOTH_SUCCESS	23	23
biobb_wf_md_setup	python	SUCCESS	3	3.3M	SUCCESS	29	14M	1	BOTH_SUCCESS	19	43
V-pipe	snakemake	SUCCESS	1457	115M	SKIPPED	NA	NA	2	SMALL_ONLY	2123	NA
metaGEM	snakemake	SUCCESS	748	1.6G	SKIPPED	NA	NA	3	SMALL_ONLY	143	NA
rna-seq-star-deseq2	snakemake	FATAL	1231	25M	SKIPPED	NA	NA	3	BOTH_FAILED	5257	0
dna-seq-gatk-variant-calling	snakemake	FATAL	8586	26M	SKIPPED	NA	NA	2	BOTH_FAILED	0	0
chipseq	snakemake	FATAL	NA	NA	SKIPPED	NA	NA	3	BOTH_FAILED	0	0
dna-seq-varlociraptor	snakemake	FATAL	NA	NA	SKIPPED	NA	NA	1	BOTH_FAILED	0	0
nf-core_ampliseq	nextflow	FATAL	3542	3.2M	SKIPPED	NA	NA	3	BOTH_FAILED	0	0
iwc	galaxy	FATAL	NA	NA	SKIPPED	NA	NA	0	BOTH_FAILED	0	0
nf-core_rnaseq	nextflow	FATAL	NA	NA	SKIPPED	NA	NA	2	BOTH_FAILED	0	0
nf-core_sarek	nextflow	FATAL	NA	NA	SKIPPED	NA	NA	2	BOTH_FAILED	0	0
nf-core_eager	nextflow	FATAL	NA	NA	SKIPPED	NA	NA	3	BOTH_FAILED	0	0
nf-core_viralrecon	nextflow	FATAL	NA	NA	SKIPPED	NA	NA	2	BOTH_FAILED	0	0
nf-core_chipseq	nextflow	FATAL	NA	NA	SKIPPED	NA	NA	3	BOTH_FAILED	0	0
nf-core_atacseq	nextflow	FATAL	NA	NA	SKIPPED	NA	NA	3	BOTH_FAILED	0	0
nf-core_mag	nextflow	FATAL	NA	NA	SKIPPED	NA	NA	2	BOTH_FAILED	0	0
1000genome-workflow	pegasus	SKIPPED	NA	NA	SKIPPED	NA	NA	0	SKIPPED	NA	NA
