workflow	scale	script	nodes	ntpn	cpus	mem	srunX	nf	smk	mpirun	dask	profiler	nxf_max_forks	class
biobb_wf_md_setup	small	run_slurm.sh	4	40	?	47000M	0	0	0	0	0	darshan	?	F_singlenode_wasted_nodes
chipseq	small	run_slurm.sh	4	40	?	47000M	0	0	1	0	0	darshan	?	D_smk_serial_wasted_nodes
DeepDriveMD-pipeline	small	run_slurm.sh	4	40	?	47000M	0	0	0	0	0	darshan	?	F_singlenode_wasted_nodes
dna-seq-gatk-variant-calling	small	run_slurm.sh	4	40	?	47000M	0	0	1	0	0	darshan	?	D_smk_serial_wasted_nodes
dna-seq-varlociraptor	small	run_slurm.sh	4	40	?	47000M	0	0	1	0	0	darshan	?	D_smk_serial_wasted_nodes
metaGEM	small	run_slurm.sh	4	40	?	47000M	0	0	1	0	0	darshan	?	D_smk_serial_wasted_nodes
Montage	small	run_slurm.sh	4	40	?	47000M	0	0	0	0	0	darshan	?	F_singlenode_wasted_nodes
nf-core_ampliseq	small	run_slurm.sh	4	40	?	47000M	0	1	0	0	0	darshan	?	C_nf_queue_fanout
nf-core_eager	small	run_slurm.sh	1	1	40	47000M	0	1	0	0	0	-	?	C_nf_queue_fanout
nf-core_fetchngs	small	run_slurm.sh	1	1	40	47000M	0	1	0	0	0	-	?	C_nf_queue_fanout
nf-core_methylseq	small	run_slurm.sh	1	1	40	47000M	0	1	0	0	0	-	?	C_nf_queue_fanout
nf-core_rnaseq	small	run_slurm.sh	1	1	40	47000M	0	1	0	0	0	-	?	C_nf_queue_fanout
nf-core_sarek	small	run_slurm.sh	1	1	40	47000M	0	1	0	0	0	-	?	C_nf_queue_fanout
nf-core_smrnaseq	small	run_slurm.sh	1	1	40	47000M	0	1	0	0	0	-	?	C_nf_queue_fanout
nf-core_viralrecon	small	run_slurm.sh	1	1	40	47000M	0	1	0	0	0	-	?	C_nf_queue_fanout
PyFLEXTRKR	small	run_slurm.sh	4	40	?	47000M	0	0	0	0	0	darshan	?	F_singlenode_wasted_nodes
rna-seq-star-deseq2	small	run_slurm.sh	4	40	?	47000M	0	0	1	0	0	darshan	?	D_smk_serial_wasted_nodes
