workflow	scale	total_tasks	unique_processes
nf-core_ampliseq	small_2node	127	72
nf-core_ampliseq	small_2node	16	7
nf-core_ampliseq	small_2node	123	74
nf-core_atacseq	small_2node	259	69
nf-core_atacseq	small_2node	169	43
nf-core_atacseq	small_2node	148	34
nf-core_atacseq	small_2node	241	63
nf-core_bacass	small_2node	17	10
nf-core_bacass	small_2node	18	10
nf-core_bacass	small_2node	10	6
nf-core_bacass	small_2node	17	10
nf-core_cutandrun	small_2node	135	95
nf-core_cutandrun	small_2node	132	88
nf-core_cutandrun	small_2node	133	93
nf-core_cutandrun	small_2node	0	0
nf-core_cutandrun	small_2node	110	69
nf-core_cutandrun	small_2node	135	95
nf-core_demultiplex	small_2node	0	0
nf-core_detaxizer	small_2node	55	14
nf-core_detaxizer	small_2node	54	14
nf-core_differentialabundance	small_2node	21	16
nf-core_differentialabundance	small_2node	18	13
nf-core_differentialabundance	small_2node	20	15
nf-core_differentialabundance	small_2node	0	0
nf-core_differentialabundance	small_2node	21	16
nf-core_fetchngs	small_2node	53	8
nf-core_fetchngs	small_2node	53	8
nf-core_fetchngs	small_2node	52	7
nf-core_fetchngs	small_2node	53	8
nf-core_funcscan	small_2node	57	31
nf-core_funcscan	small_2node	57	31
nf-core_hic	small_2node	35	22
nf-core_hic	small_2node	42	25
nf-core_hic	small_2node	8	5
nf-core_hic	small_2node	0	0
nf-core_hic	small_2node	27	16
nf-core_hic	small_2node	34	21
nf-core_hic	small_2node	35	22
nf-core_mag	small_2node	196	41
nf-core_mag	small_2node	134	31
nf-core_mag	small_2node	196	41
nf-core_methylseq	small_2node	36	12
nf-core_methylseq	small_2node	0	0
nf-core_methylseq	small_2node	37	12
nf-core_methylseq	small_2node	37	12
nf-core_methylseq	small_2node	36	12
nf-core_nascent	small_2node	149	37
nf-core_nascent	small_2node	149	37
nf-core_pathogensurveillance	small_2node	27	13
nf-core_pathogensurveillance	small_2node	1	1
nf-core_pathogensurveillance	small_2node	47	18
nf-core_proteinfold	small_2node	5	3
nf-core_proteinfold	small_2node	5	3
nf-core_quantms	small_2node	60	13
nf-core_quantms	small_2node	58	12
nf-core_quantms	small_2node	0	0
nf-core_quantms	small_2node	51	10
nf-core_quantms	small_2node	60	13
nf-core_rnaseq	small_2node	219	62
nf-core_rnaseq	small_2node	0	0
nf-core_rnaseq	small_2node	220	62
nf-core_rnaseq	small_2node	219	62
nf-core_rnaseq	small_2node	219	62
