workflow	total_tasks	wall_s	work_s	avg_conc	peak_conc	sweet_node_count
nf-core_ampliseq	16	187	487	2.6	5	4
nf-core_ampliseq	107	3936	13825	3.5	27	11
nf-core_atacseq	141	866	3381	3.9	24	10
nf-core_atacseq	93	572	4276	7.5	22	12
nf-core_bacass	9	1254	1223	1.0	3	2
nf-core_bacass	8	2135	2225	1.0	3	2
nf-core_cutandrun	0	0	0	0	0	0
nf-core_cutandrun	102	760	1925	2.5	10	5
nf-core_cutandrun	31	761	1588	2.1	7	4
nf-core_demultiplex	0	0	0	0	0	0
nf-core_detaxizer	54	680	1217	1.8	12	5
nf-core_differentialabundance	0	0	0	0	0	0
nf-core_differentialabundance	21	1949	752	0.4	3	2
nf-core_fetchngs	53	299	1104	3.7	12	7
nf-core_funcscan	57	2548	3948	1.5	7	4
nf-core_hic	4	251	100	0.4	2	1
nf-core_hic	0	0	0	0	0	0
nf-core_hic	19	747	332	0.4	2	1
nf-core_hic	11	67	205	3.1	4	4
nf-core_hic	1	34	34	1.0	1	1
nf-core_mag	133	1916	5170	2.7	21	9
nf-core_mag	62	1058	4563	4.3	22	10
nf-core_methylseq	36	163	691	4.2	9	6
nf-core_nascent	149	2246	3383	1.5	20	8
nf-core_pathogensurveillance	0	0	0	0	0	0
nf-core_pathogensurveillance	47	1526	2447	1.6	15	6
nf-core_proteinfold	5	359	142	0.4	2	1
nf-core_quantms	0	0	0	0	0	0
nf-core_quantms	50	633	1358	2.1	12	6
nf-core_quantms	8	416	415	1.0	6	3
nf-core_rnaseq	219	775	5098	6.6	28	14
nf-core_sarek	22	445	850	1.9	5	3
nf-core_sarek	1	111	111	1.0	1	1
nf-core_scrnaseq	0	0	0	0	0	0
nf-core_smrnaseq	17	133	696	5.2	14	8
nf-core_smrnaseq	19	318	785	2.5	8	5
nf-core_smrnaseq	0	0	0	0	0	0
nf-core_smrnaseq	57	381	2714	7.1	16	10
nf-core_smrnaseq	13	249	988	4.0	5	5
nf-core_smrnaseq	57	138	1679	12.2	29	18
nf-core_smrnaseq	0	0	0	0	0	0
nf-core_smrnaseq	79	381	2702	7.1	32	15
nf-core_taxprofiler	179	2004	5047	2.5	29	11
nf-core_viralintegration	0	0	0	0	0	0
nf-core_viralrecon	180	686	6217	9.1	27	15
nf-core_viralrecon	2	46	91	2.0	2	2
nf-core_viralrecon	3	174	402	2.3	3	3
nf-core_viralrecon	15	308	764	2.5	6	4
