workflow	run	dir	mode	run_mtime	slurm_file	active_in_squeue
1000genome-workflow	19570	4node-19570	multi	2026-05-21 00:25:48	missing	yes
1000genome-workflow	18970	single-18970	single	2026-05-19 21:46:24	present	no
1000genome-workflow	19569	single-19569	single	2026-05-20 21:01:49	present	no
DeepDriveMD-pipeline	18776	4node-18776	multi	2026-05-19 16:45:13	missing	no
DeepDriveMD-pipeline	18778	4node-18778	multi	2026-05-19 18:16:25	missing	no
DeepDriveMD-pipeline	19020	4node-profiled-19020	trace	2026-05-19 21:54:48	missing	no
DeepDriveMD-pipeline	19099	4node-profiled-19099	trace	2026-05-19 23:30:11	missing	no
DeepDriveMD-pipeline	19215	4node-profiled-19215	trace	2026-05-20 03:23:58	missing	no
DeepDriveMD-pipeline	19327	4node-profiled-19327	trace	2026-05-20 22:46:22	missing	no
DeepDriveMD-pipeline	darshan-19327	4node-profiled-darshan-19327	trace	2026-05-20 22:46:22	missing	no
DeepDriveMD-pipeline	datalife-19099-19099	4node-profiled-datalife-19099-19099	trace	2026-05-19 23:34:42	missing	no
DeepDriveMD-pipeline	datalife-19215-19215	4node-profiled-datalife-19215-19215	trace	2026-05-20 03:28:26	missing	no
DeepDriveMD-pipeline	datalife-19327	4node-profiled-datalife-19327	trace	2026-05-20 22:43:31	missing	no
DeepDriveMD-pipeline	18727	single-18727	single	2026-05-19 16:22:47	present	no
DeepDriveMD-pipeline	18738	single-18738	single	2026-05-19 16:25:26	present	no
DeepDriveMD-pipeline	18757	single-18757	single	2026-05-19 16:29:03	present	no
DeepDriveMD-pipeline	18758	single-18758	single	2026-05-19 16:30:58	present	no
DeepDriveMD-pipeline	18765	single-18765	single	2026-05-19 16:33:47	present	no
DeepDriveMD-pipeline	18772	single-18772	single	2026-05-19 16:38:49	present	no
DeepDriveMD-pipeline	18774	single-18774	single	2026-05-19 16:41:47	present	no
Montage	18969	4node-18969	multi	2026-05-19 21:46:21	missing	no
Montage	19018	4node-profiled-19018	trace	2026-05-19 21:54:40	missing	no
Montage	19055	4node-profiled-19055	trace	2026-05-19 22:15:59	missing	no
PtychoNN	18996	4node-18996	multi	2026-05-19 21:52:36	missing	no
PtychoNN	19052	4node-profiled-19052	trace	2026-05-19 22:05:15	missing	no
PtychoNN	19082	4node-profiled-19082	trace	2026-05-19 23:35:20	missing	no
PtychoNN	18902	single-18902	single	2026-05-19 20:38:08	present	no
PyFLEXTRKR	19098	4node-profiled-19098	trace	2026-05-19 23:31:41	missing	no
PyFLEXTRKR	19202	4node-profiled-19202	trace	2026-05-20 03:20:49	missing	no
PyFLEXTRKR	19324	4node-profiled-19324	trace	2026-05-20 22:38:34	missing	no
V-pipe	18958	single-18958	single	2026-05-19 23:18:15	present	no
V-pipe	19151	single-19151	single	2026-05-19 23:38:18	present	no
V-pipe	19193	single-19193	single	2026-05-20 00:16:48	present	no
V-pipe	19227	single-19227	single	2026-05-20 01:11:51	present	no
V-pipe	19273	single-19273	single	2026-05-20 03:16:26	present	no
V-pipe	19652	single-19652	single	2026-05-20 11:28:07	present	yes
biobb_wf_md_setup	18356	4node-18356	multi	2026-05-19 15:18:46	missing	no
biobb_wf_md_setup	18381	4node-18381	multi	2026-05-19 15:19:46	missing	no
biobb_wf_md_setup	18451	4node-18451	multi	2026-05-19 15:29:21	missing	no
biobb_wf_md_setup	18614	4node-profiled-18614	trace	2026-05-19 16:13:40	missing	no
biobb_wf_md_setup	18962	4node-profiled-18962	trace	2026-05-19 21:46:11	missing	no
biobb_wf_md_setup	19081	4node-profiled-19081	trace	2026-05-19 23:16:00	missing	no
biobb_wf_md_setup	19148	4node-profiled-19148	trace	2026-05-20 00:15:43	missing	no
biobb_wf_md_setup	19230	4node-profiled-19230	trace	2026-05-20 04:01:56	missing	no
biobb_wf_md_setup	18330	single-18330	single	2026-05-19 15:13:49	present	no
chipseq	19707	single-19707	single	2026-05-20 13:11:12	present	no
chipseq	19839	single-19839	single	2026-05-20 15:31:08	present	no
chipseq	19971	single-19971	single	2026-05-20 22:30:25	present	no
dna-seq-gatk-variant-calling	19728	4node-19728	multi	2026-05-21 13:09:29	missing	no
dna-seq-gatk-variant-calling	19727	single-19727	single	2026-05-20 15:08:08	present	no
dna-seq-varlociraptor	19287	4node-19287	multi	2026-05-20 22:34:16	missing	no
dna-seq-varlociraptor	19531	4node-profiled-19531	trace	2026-05-20 23:50:10	missing	no
iwc	19533	4node-19533	multi	2026-05-20 23:51:37	missing	no
iwc	18960	single-18960	single	2026-05-19 21:46:06	missing	no
iwc	19154	single-19154	single	2026-05-19 23:38:51	missing	no
iwc	19331	single-19331	single	2026-05-20 09:12:58	missing	no
lammps	19111	4node-19111	multi	2026-05-19 23:34:55	missing	no
lammps	19164	4node-19164	multi	2026-05-20 00:16:21	missing	no
lammps	19228	4node-19228	multi	2026-05-20 03:29:17	missing	no
lammps	19329	4node-19329	multi	2026-05-20 22:47:07	missing	no
lammps	19017	single-19017	single	2026-05-19 21:54:39	present	no
