workflow	run	mode	status	complete_at	file
1000genome-workflow	18970-single	single	pass	2026-05-19 21:46:27	runs/1000genome-workflow/slurm-18970-single.out
1000genome-workflow	19569-single	single	pass	2026-05-20 21:01:50	runs/1000genome-workflow/slurm-19569-single.out
1000genome-workflow	19570-4node	multi	pass	2026-05-21 00:18:19	runs/1000genome-workflow/slurm-19570-4node.out
DeepDriveMD-pipeline	18727-single	single	unknown	2026-05-19 16:22:38	runs/DeepDriveMD-pipeline/slurm-18727-single.out
DeepDriveMD-pipeline	18738-single	single	unknown	2026-05-19 16:25:26	runs/DeepDriveMD-pipeline/slurm-18738-single.out
DeepDriveMD-pipeline	18757-single	single	unknown	2026-05-19 16:29:03	runs/DeepDriveMD-pipeline/slurm-18757-single.out
DeepDriveMD-pipeline	18758-single	single	unknown	2026-05-19 16:30:58	runs/DeepDriveMD-pipeline/slurm-18758-single.out
DeepDriveMD-pipeline	18765-single	single	unknown	2026-05-19 16:33:46	runs/DeepDriveMD-pipeline/slurm-18765-single.out
DeepDriveMD-pipeline	18772-single	single	unknown	2026-05-19 16:38:49	runs/DeepDriveMD-pipeline/slurm-18772-single.out
DeepDriveMD-pipeline	18774-single	single	unknown	2026-05-19 16:41:47	runs/DeepDriveMD-pipeline/slurm-18774-single.out
DeepDriveMD-pipeline	18775-4node	multi	unknown	2026-05-19 16:44:38	runs/DeepDriveMD-pipeline/slurm-18775-4node.out
DeepDriveMD-pipeline	18776-4node	multi	unknown	2026-05-19 16:45:08	runs/DeepDriveMD-pipeline/slurm-18776-4node.out
DeepDriveMD-pipeline	18778-4node	multi	unknown	2026-05-19 18:16:26	runs/DeepDriveMD-pipeline/slurm-18778-4node.out
DeepDriveMD-pipeline	18963-4node-profiled	trace	unknown	2026-05-19 21:46:06	runs/DeepDriveMD-pipeline/slurm-18963-4node-profiled.out
DeepDriveMD-pipeline	19020-4node-profiled	trace	unknown	2026-05-19 21:54:46	runs/DeepDriveMD-pipeline/slurm-19020-4node-profiled.out
DeepDriveMD-pipeline	19099-4node-profiled	trace	unknown	2026-05-19 23:34:42	runs/DeepDriveMD-pipeline/slurm-19099-4node-profiled.out
DeepDriveMD-pipeline	19215-4node-profiled	trace	unknown	2026-05-20 03:28:26	runs/DeepDriveMD-pipeline/slurm-19215-4node-profiled.out
DeepDriveMD-pipeline	19327-4node-profiled	trace	unknown	2026-05-20 22:46:22	runs/DeepDriveMD-pipeline/slurm-19327-4node-profiled.out
Montage	18803-single	single	unknown	2026-05-19 18:15:39	runs/Montage/slurm-18803-single.out
Montage	18964-single	single	pass	2026-05-19 21:32:58	runs/Montage/slurm-18964-single.out
Montage	18969-4node	multi	pass	2026-05-19 21:46:21	runs/Montage/slurm-18969-4node.out
Montage	19018-4node-profiled	trace	unknown	2026-05-19 21:54:37	runs/Montage/slurm-19018-4node-profiled.out
Montage	19055-4node-profiled	trace	pass	2026-05-19 22:15:59	runs/Montage/slurm-19055-4node-profiled.out
PtychoNN	18902-single	single	unknown	2026-05-19 20:38:11	runs/PtychoNN/slurm-18902-single.out
PtychoNN	18996-4node	multi	unknown	2026-05-19 21:52:36	runs/PtychoNN/slurm-18996-4node.out
PtychoNN	19052-4node-profiled	trace	unknown	2026-05-19 22:06:48	runs/PtychoNN/slurm-19052-4node-profiled.out
PtychoNN	19082-4node-profiled	trace	pass	2026-05-19 23:35:20	runs/PtychoNN/slurm-19082-4node-profiled.out
PyFLEXTRKR	18907-single	single	unknown	2026-05-19 20:36:45	runs/PyFLEXTRKR/slurm-18907-single.out
PyFLEXTRKR	18909-single	single	unknown	2026-05-19 21:09:48	runs/PyFLEXTRKR/slurm-18909-single.out
PyFLEXTRKR	18949-single	single	unknown	2026-05-19 21:19:47	runs/PyFLEXTRKR/slurm-18949-single.out
PyFLEXTRKR	18951-4node	multi	unknown	2026-05-19 21:30:26	runs/PyFLEXTRKR/slurm-18951-4node.out
PyFLEXTRKR	19000-4node	multi	unknown	2026-05-19 21:54:28	runs/PyFLEXTRKR/slurm-19000-4node.out
PyFLEXTRKR	19098-4node-profiled	trace	fail	2026-05-19 23:31:44	runs/PyFLEXTRKR/slurm-19098-4node-profiled.out
PyFLEXTRKR	19202-4node-profiled	trace	fail	2026-05-20 03:20:51	runs/PyFLEXTRKR/slurm-19202-4node-profiled.out
PyFLEXTRKR	19324-4node-profiled	trace	fail	2026-05-20 22:38:34	runs/PyFLEXTRKR/slurm-19324-4node-profiled.out
V-pipe	18958-single	single	unknown	2026-05-19 21:46:06	runs/V-pipe/slurm-18958-single.out
V-pipe	19151-single	single	unknown	2026-05-19 23:38:10	runs/V-pipe/slurm-19151-single.out
V-pipe	19193-single	single	unknown	2026-05-20 00:16:42	runs/V-pipe/slurm-19193-single.out
V-pipe	19227-single	single	unknown	2026-05-20 01:11:42	runs/V-pipe/slurm-19227-single.out
V-pipe	19273-single	single	unknown	2026-05-20 04:35:54	runs/V-pipe/slurm-19273-single.out
V-pipe	19652-single	single	unknown	2026-05-20 23:07:24	runs/V-pipe/slurm-19652-single.out
biobb_wf_md_setup	18324-single	single	unknown	2026-05-19 15:08:36	runs/biobb_wf_md_setup/slurm-18324-single.out
biobb_wf_md_setup	18330-single	single	pass	2026-05-19 15:13:49	runs/biobb_wf_md_setup/slurm-18330-single.out
biobb_wf_md_setup	18356-4node	multi	pass	2026-05-19 15:18:46	runs/biobb_wf_md_setup/slurm-18356-4node.out
biobb_wf_md_setup	18381-4node	multi	pass	2026-05-19 15:19:47	runs/biobb_wf_md_setup/slurm-18381-4node.out
biobb_wf_md_setup	18451-4node	multi	pass	2026-05-19 15:29:21	runs/biobb_wf_md_setup/slurm-18451-4node.out
biobb_wf_md_setup	18614-4node-profiled	trace	unknown	2026-05-19 16:13:45	runs/biobb_wf_md_setup/slurm-18614-4node-profiled.out
biobb_wf_md_setup	18962-4node-profiled	trace	unknown	2026-05-19 21:46:29	runs/biobb_wf_md_setup/slurm-18962-4node-profiled.out
biobb_wf_md_setup	19081-4node-profiled	trace	pass	2026-05-19 23:16:21	runs/biobb_wf_md_setup/slurm-19081-4node-profiled.out
biobb_wf_md_setup	19148-4node-profiled	trace	unknown	2026-05-20 00:15:54	runs/biobb_wf_md_setup/slurm-19148-4node-profiled.out
biobb_wf_md_setup	19230-4node-profiled	trace	unknown	2026-05-20 04:01:56	runs/biobb_wf_md_setup/slurm-19230-4node-profiled.out
chipseq	18641-single	single	unknown	2026-05-19 16:13:38	runs/chipseq/slurm-18641-single.out
chipseq	18728-single	single	unknown	2026-05-19 16:22:38	runs/chipseq/slurm-18728-single.out
chipseq	18737-single	single	unknown	2026-05-19 16:24:08	runs/chipseq/slurm-18737-single.out
chipseq	18771-single	single	unknown	2026-05-19 16:36:38	runs/chipseq/slurm-18771-single.out
chipseq	18773-single	single	unknown	2026-05-19 16:38:38	runs/chipseq/slurm-18773-single.out
chipseq	18780-single	single	unknown	2026-05-19 18:12:07	runs/chipseq/slurm-18780-single.out
chipseq	18968-single	single	unknown	2026-05-19 21:46:06	runs/chipseq/slurm-18968-single.out
chipseq	19157-single	single	unknown	2026-05-19 23:39:51	runs/chipseq/slurm-19157-single.out
chipseq	19194-single	single	unknown	2026-05-20 00:17:05	runs/chipseq/slurm-19194-single.out
chipseq	19298-single	single	unknown	2026-05-20 04:04:25	runs/chipseq/slurm-19298-single.out
chipseq	19543-single	single	unknown	2026-05-20 09:13:24	runs/chipseq/slurm-19543-single.out
chipseq	19642-single	single	unknown	2026-05-20 10:30:26	runs/chipseq/slurm-19642-single.out
chipseq	19707-single	single	unknown	2026-05-20 13:10:58	runs/chipseq/slurm-19707-single.out
chipseq	19839-single	single	unknown	2026-05-20 15:30:47	runs/chipseq/slurm-19839-single.out
chipseq	19971-single	single	unknown	2026-05-20 22:27:01	runs/chipseq/slurm-19971-single.out
dna-seq-gatk-variant-calling	18966-single	single	unknown	2026-05-19 21:46:06	runs/dna-seq-gatk-variant-calling/slurm-18966-single.out
dna-seq-gatk-variant-calling	19022-single	single	unknown	2026-05-19 21:55:09	runs/dna-seq-gatk-variant-calling/slurm-19022-single.out
dna-seq-gatk-variant-calling	19058-single	single	unknown	2026-05-19 22:16:05	runs/dna-seq-gatk-variant-calling/slurm-19058-single.out
dna-seq-gatk-variant-calling	19102-single	single	unknown	2026-05-19 23:33:35	runs/dna-seq-gatk-variant-calling/slurm-19102-single.out
dna-seq-gatk-variant-calling	19210-single	single	unknown	2026-05-20 00:37:22	runs/dna-seq-gatk-variant-calling/slurm-19210-single.out
dna-seq-gatk-variant-calling	19270-single	single	unknown	2026-05-20 02:18:23	runs/dna-seq-gatk-variant-calling/slurm-19270-single.out
dna-seq-gatk-variant-calling	19333-single	single	unknown	2026-05-20 05:52:51	runs/dna-seq-gatk-variant-calling/slurm-19333-single.out
dna-seq-gatk-variant-calling	19394-single	single	unknown	2026-05-20 07:38:19	runs/dna-seq-gatk-variant-calling/slurm-19394-single.out
dna-seq-gatk-variant-calling	19547-single	single	unknown	2026-05-20 09:14:26	runs/dna-seq-gatk-variant-calling/slurm-19547-single.out
dna-seq-gatk-variant-calling	19727-single	single	unknown	2026-05-20 15:08:08	runs/dna-seq-gatk-variant-calling/slurm-19727-single.out
dna-seq-gatk-variant-calling	19728-4node	multi	unknown	2026-05-21 13:04:33	runs/dna-seq-gatk-variant-calling/slurm-19728-4node.out
dna-seq-varlociraptor	18967-single	single	unknown	2026-05-19 21:46:06	runs/dna-seq-varlociraptor/slurm-18967-single.out
dna-seq-varlociraptor	19023-single	single	unknown	2026-05-19 22:38:32	runs/dna-seq-varlociraptor/slurm-19023-single.out
dna-seq-varlociraptor	19211-single	single	unknown	2026-05-20 00:38:52	runs/dna-seq-varlociraptor/slurm-19211-single.out
dna-seq-varlociraptor	19263-single	single	unknown	2026-05-20 01:47:44	runs/dna-seq-varlociraptor/slurm-19263-single.out
dna-seq-varlociraptor	19287-4node	multi	unknown	2026-05-20 22:34:16	runs/dna-seq-varlociraptor/slurm-19287-4node.out
