workflow	run_id	mode	status	slurm_file
1000genome-workflow	18970-single	other	fail	runs/1000genome-workflow/slurm-18970-single.out
1000genome-workflow	19569-single	other	fail	runs/1000genome-workflow/slurm-19569-single.out
1000genome-workflow	19570-4node	other	fail	runs/1000genome-workflow/slurm-19570-4node.out
DeepDriveMD-pipeline	18727-single	other	unknown	runs/DeepDriveMD-pipeline/slurm-18727-single.out
DeepDriveMD-pipeline	18738-single	other	unknown	runs/DeepDriveMD-pipeline/slurm-18738-single.out
DeepDriveMD-pipeline	18757-single	other	unknown	runs/DeepDriveMD-pipeline/slurm-18757-single.out
DeepDriveMD-pipeline	18758-single	other	unknown	runs/DeepDriveMD-pipeline/slurm-18758-single.out
DeepDriveMD-pipeline	18765-single	other	unknown	runs/DeepDriveMD-pipeline/slurm-18765-single.out
DeepDriveMD-pipeline	18772-single	other	unknown	runs/DeepDriveMD-pipeline/slurm-18772-single.out
DeepDriveMD-pipeline	18774-single	other	unknown	runs/DeepDriveMD-pipeline/slurm-18774-single.out
DeepDriveMD-pipeline	18775-4node	other	unknown	runs/DeepDriveMD-pipeline/slurm-18775-4node.out
DeepDriveMD-pipeline	18776-4node	other	unknown	runs/DeepDriveMD-pipeline/slurm-18776-4node.out
DeepDriveMD-pipeline	18778-4node	other	unknown	runs/DeepDriveMD-pipeline/slurm-18778-4node.out
DeepDriveMD-pipeline	18963-4node-profiled	trace	unknown	runs/DeepDriveMD-pipeline/slurm-18963-4node-profiled.out
DeepDriveMD-pipeline	19020-4node-profiled	trace	unknown	runs/DeepDriveMD-pipeline/slurm-19020-4node-profiled.out
DeepDriveMD-pipeline	19099-4node-profiled	trace	unknown	runs/DeepDriveMD-pipeline/slurm-19099-4node-profiled.out
DeepDriveMD-pipeline	19215-4node-profiled	trace	unknown	runs/DeepDriveMD-pipeline/slurm-19215-4node-profiled.out
DeepDriveMD-pipeline	19327-4node-profiled	trace	unknown	runs/DeepDriveMD-pipeline/slurm-19327-4node-profiled.out
Montage	18803-single	other	unknown	runs/Montage/slurm-18803-single.out
Montage	18964-single	other	fail	runs/Montage/slurm-18964-single.out
Montage	18969-4node	other	fail	runs/Montage/slurm-18969-4node.out
Montage	19018-4node-profiled	trace	unknown	runs/Montage/slurm-19018-4node-profiled.out
Montage	19055-4node-profiled	trace	pass	runs/Montage/slurm-19055-4node-profiled.out
PtychoNN	18902-single	other	unknown	runs/PtychoNN/slurm-18902-single.out
PtychoNN	18996-4node	other	unknown	runs/PtychoNN/slurm-18996-4node.out
PtychoNN	19052-4node-profiled	trace	fail	runs/PtychoNN/slurm-19052-4node-profiled.out
PtychoNN	19082-4node-profiled	trace	pass	runs/PtychoNN/slurm-19082-4node-profiled.out
PyFLEXTRKR	18907-single	other	unknown	runs/PyFLEXTRKR/slurm-18907-single.out
PyFLEXTRKR	18909-single	other	unknown	runs/PyFLEXTRKR/slurm-18909-single.out
PyFLEXTRKR	18949-single	other	unknown	runs/PyFLEXTRKR/slurm-18949-single.out
PyFLEXTRKR	18951-4node	other	unknown	runs/PyFLEXTRKR/slurm-18951-4node.out
PyFLEXTRKR	19000-4node	other	unknown	runs/PyFLEXTRKR/slurm-19000-4node.out
PyFLEXTRKR	19098-4node-profiled	trace	unknown	runs/PyFLEXTRKR/slurm-19098-4node-profiled.out
PyFLEXTRKR	19202-4node-profiled	trace	unknown	runs/PyFLEXTRKR/slurm-19202-4node-profiled.out
PyFLEXTRKR	19324-4node-profiled	trace	unknown	runs/PyFLEXTRKR/slurm-19324-4node-profiled.out
V-pipe	18958-single	other	unknown	runs/V-pipe/slurm-18958-single.out
V-pipe	19151-single	other	unknown	runs/V-pipe/slurm-19151-single.out
V-pipe	19193-single	other	unknown	runs/V-pipe/slurm-19193-single.out
V-pipe	19227-single	other	unknown	runs/V-pipe/slurm-19227-single.out
V-pipe	19273-single	other	unknown	runs/V-pipe/slurm-19273-single.out
V-pipe	19652-single	other	unknown	runs/V-pipe/slurm-19652-single.out
biobb_wf_md_setup	18324-single	other	unknown	runs/biobb_wf_md_setup/slurm-18324-single.out
