workflow	mode	status	run	completed_at	evidence_file	note
1000genome-workflow	multi	running	19570-4node	2026-05-21 00:18:19	runs/1000genome-workflow/slurm-19570-4node.out	active in squeue; do not classify final
1000genome-workflow	single	pass	19569-single	2026-05-20 21:01:50	runs/1000genome-workflow/slurm-19569-single.out	scanner_status
DeepDriveMD-pipeline	multi	pass	18778-4node	2026-05-19 18:16:26	runs/DeepDriveMD-pipeline/slurm-18778-4node.out	wrapper completion / trace parsed
DeepDriveMD-pipeline	single	pass	18774-single	2026-05-19 16:41:47	runs/DeepDriveMD-pipeline/slurm-18774-single.out	wrapper completion / trace parsed
DeepDriveMD-pipeline	trace	pass	19327-4node-profiled	2026-05-20 22:46:22	runs/DeepDriveMD-pipeline/slurm-19327-4node-profiled.out	wrapper completion / trace parsed
Montage	multi	pass	18969-4node	2026-05-19 21:46:21	runs/Montage/slurm-18969-4node.out	scanner_status
Montage	single	pass	18964-single	2026-05-19 21:32:58	runs/Montage/slurm-18964-single.out	scanner_status
Montage	trace	pass	19055-4node-profiled	2026-05-19 22:15:59	runs/Montage/slurm-19055-4node-profiled.out	scanner_status
PtychoNN	multi	pass	18996-4node	2026-05-19 21:52:36	runs/PtychoNN/slurm-18996-4node.out	wrapper completion message
PtychoNN	single	pass	18902-single	2026-05-19 20:38:11	runs/PtychoNN/slurm-18902-single.out	wrapper completion message
PtychoNN	trace	pass	19082-4node-profiled	2026-05-19 23:35:20	runs/PtychoNN/slurm-19082-4node-profiled.out	scanner_status
PyFLEXTRKR	multi	pass	19000-4node	2026-05-19 21:54:28	runs/PyFLEXTRKR/slurm-19000-4node.out	wrapper completion with output files
PyFLEXTRKR	single	pass	18949-single	2026-05-19 21:19:47	runs/PyFLEXTRKR/slurm-18949-single.out	wrapper completion with output files
PyFLEXTRKR	trace	fail	19324-4node-profiled	2026-05-20 22:38:34	runs/PyFLEXTRKR/slurm-19324-4node-profiled.out	scanner_status
V-pipe	single	unknown	19652-single	2026-05-20 23:07:24	runs/V-pipe/slurm-19652-single.out	scanner_status
biobb_wf_md_setup	multi	pass	18451-4node	2026-05-19 15:29:21	runs/biobb_wf_md_setup/slurm-18451-4node.out	scanner_status
biobb_wf_md_setup	single	pass	18330-single	2026-05-19 15:13:49	runs/biobb_wf_md_setup/slurm-18330-single.out	scanner_status
biobb_wf_md_setup	trace	pass	19230-4node-profiled	2026-05-20 04:01:56	runs/biobb_wf_md_setup/slurm-19230-4node-profiled.out	all profiled gmx commands exit 0 / traces present
chipseq	single	unknown	19971-single	2026-05-20 22:27:01	runs/chipseq/slurm-19971-single.out	scanner_status
dna-seq-gatk-variant-calling	multi	unknown	19728-4node	2026-05-21 13:04:33	runs/dna-seq-gatk-variant-calling/slurm-19728-4node.out	scanner_status
dna-seq-gatk-variant-calling	single	pass	19727-single	2026-05-20 15:08:08	runs/dna-seq-gatk-variant-calling/slurm-19727-single.out	wrapper completion message
dna-seq-varlociraptor	multi	pass	19287-4node	2026-05-20 22:34:16	runs/dna-seq-varlociraptor/slurm-19287-4node.out	wrapper completion message
dna-seq-varlociraptor	single	pass	19263-single	2026-05-20 01:47:44	runs/dna-seq-varlociraptor/slurm-19263-single.out	wrapper completion message
dna-seq-varlociraptor	trace	unknown	19531-4node-profiled	2026-05-20 23:51:23	runs/dna-seq-varlociraptor/slurm-19531-4node-profiled.out	scanner_status
iwc	multi	unknown	19533-4node	2026-05-20 23:51:37	runs/iwc/slurm-19533-4node.out	scanner_status
iwc	other	pass	19331	2026-05-20 09:12:58	runs/iwc/slurm-19331.out	scanner_status
lammps	multi	unknown	19329-4node	2026-05-20 22:47:05	runs/lammps/slurm-19329-4node.out	scanner_status
lammps	other	pass	18961-build	2026-05-19 21:33:41	runs/lammps/slurm-18961-build.out	build completed
lammps	single	pass	19083-single	2026-05-19 22:53:30	runs/lammps/slurm-19083-single.out	wrapper completion message
metaGEM	multi	unknown	19864-4node	2026-05-21 23:22:08	runs/metaGEM/slurm-19864-4node.out	scanner_status
metaGEM	single	pass	19863-single	2026-05-20 18:25:37	runs/metaGEM/slurm-19863-single.out	wrapper completion message
nf-core_airrflow	single	fail	19962-single	2026-05-20 22:14:40	runs/nf-core_airrflow/slurm-19962-single.out	missing required --race_linker; ran under /tmp
nf-core_ampliseq	single	fail	19873-single	2026-05-20 18:23:00	runs/nf-core_ampliseq/slurm-19873-single.out	scanner_status
nf-core_atacseq	single	fail	20022-single	2026-05-21 06:56:51	runs/nf-core_atacseq/slurm-20022-single.out	scanner_status
nf-core_bacass	single	fail	20013-single	2026-05-21 10:03:25	runs/nf-core_bacass/slurm-20013-single.out	scanner_status
nf-core_circdna	single	fail	19879-single	2026-05-21 06:16:54	runs/nf-core_circdna/slurm-19879-single.out	scanner_status
nf-core_clipseq	single	unknown	19882-single	2026-05-20 16:36:18	runs/nf-core_clipseq/slurm-19882-single.out	scanner_status
nf-core_createtaxdb	single	fail	19983-single	2026-05-21 01:36:00	runs/nf-core_createtaxdb/slurm-19983-single.out	scanner_status
nf-core_cutandrun	single	fail	19980-single	2026-05-21 00:16:45	runs/nf-core_cutandrun/slurm-19980-single.out	scanner_status
nf-core_deepvariant	single	fail	19940-single	2026-05-20 19:03:54	runs/nf-core_deepvariant/slurm-19940-single.out	scanner_status
nf-core_demultiplex	single	fail	20054-single	2026-05-21 17:22:16	runs/nf-core_demultiplex/slurm-20054-single.out	scanner_status
nf-core_detaxizer	single	running	20025-single	2026-05-21 10:40:32	runs/nf-core_detaxizer/slurm-20025-single.out	active in squeue; do not classify final
nf-core_differentialabundance	single	unknown	19894-single	2026-05-21 00:06:35	runs/nf-core_differentialabundance/slurm-19894-single.out	scanner_status
nf-core_dualrnaseq	single	fail	19943-single	2026-05-20 23:32:25	runs/nf-core_dualrnaseq/slurm-19943-single.out	scanner_status
nf-core_eager	other	fail	19344-envprep	2026-05-20 08:42:31	runs/nf-core_eager/slurm-19344-envprep.out	scanner_status
nf-core_eager	single	fail	20010-single	2026-05-21 13:53:57	runs/nf-core_eager/slurm-20010-single.out	scanner_status
nf-core_fetchngs	single	pass	19977-single	2026-05-21 04:54:18	runs/nf-core_fetchngs/slurm-19977-single.out	scanner_status
nf-core_funcscan	single	pass	19946-single	2026-05-21 04:53:37	runs/nf-core_funcscan/slurm-19946-single.out	scanner_status
nf-core_genomeqc	single	fail	20016-single	2026-05-21 03:51:48	runs/nf-core_genomeqc/slurm-20016-single.out	scanner_status
